stock_code,corp_name,market,corp_code,modify_date
068940,셀피글로벌,KOSDAQ,00308896,20230403
069080,웹젠,KOSDAQ,00405320,20221206
069140,누리플랜,KOSDAQ,00410997,20230331
069260,티케이지휴켐스,KOSPI,00426086,20230726
069330,유아이디,KOSDAQ,00400121,20221208
069410,엔텔스,KOSDAQ,00415707,20221206
069460,대호에이엘,KOSPI,00428729,20230823
069510,에스텍,KOSDAQ,00306719,20230203
069540,라이트론,KOSDAQ,00367482,20221207
069620,대웅제약,KOSPI,00427483,20230517
069640,한세엠케이,KOSPI,00357360,20221202
069730,DSR제강,KOSPI,00151298,20221202
069920,아이에스이커머스,KOSDAQ,00426068,20230615
069960,현대백화점,KOSPI,00428251,20230103
070300,엑스큐어,KOSDAQ,00683007,20221205
070590,한솔인티큐브,KOSDAQ,00470829,20230717
070960,용평리조트,KOSPI,00365989,20220221
071050,한국금융지주,KOSPI,00432102,20221228
071090,하이스틸,KOSPI,00435312,20221219
071200,인피니트헬스케어,KOSDAQ,00435969,20221202
071280,로체시스템즈,KOSDAQ,00363486,20221102
071320,지역난방공사,KOSPI,00159698,20230106
071460,위니아,KOSDAQ,00300557,20230403
071670,에이테크솔루션,KOSDAQ,00384887,20220228
071840,롯데하이마트,KOSPI,00158307,20230328
071850,캐스텍코리아,KOSDAQ,00302582,20230614
071950,코아스,KOSPI,00210856,20230220
071970,STX중공업,KOSPI,00406046,20221206
072020,중앙백신,KOSDAQ,00415327,20230908
072130,유엔젤,KOSPI,00416654,20230130
072470,우리산업홀딩스,KOSDAQ,00359623,20221206
072520,제넨바이오,KOSDAQ,00408956,20230515
072710,농심홀딩스,KOSPI,00459871,20230330
072770,율호,KOSDAQ,00583026,20230628
072870,메가스터디,KOSDAQ,00422284,20221202
072950,빛샘전자,KOSDAQ,00359261,20221128
072990,에이치시티,KOSDAQ,00527464,20230222
073010,케이에스피,KOSDAQ,00328191,20230213
073110,엘엠에스,KOSDAQ,00494218,20230411
073190,듀오백,KOSDAQ,00407771,20220222
073240,금호타이어,KOSPI,00481454,20230110
073490,이노와이어리스,KOSDAQ,00462121,20221130
073540,에프알텍,KOSDAQ,00442561,20230925
073560,우리손에프앤지,KOSDAQ,00413417,20230403
073570,리튬포어스,KOSDAQ,00440712,20231013
073640,테라사이언스,KOSDAQ,00373021,20230530
074430,아미노로직스,KOSDAQ,00466428,20230913
074600,원익QnC,KOSDAQ,00468374,20220330
074610,이엔플러스,KOSPI,00469799,20230328
075130,플랜티넷,KOSDAQ,00490179,20221201
075180,새론오토모티브,KOSPI,00305668,20221221
075580,세진중공업,KOSPI,00415628,20230216
075970,동국알앤에스,KOSDAQ,00472890,20230323
076080,웰크론한텍,KOSDAQ,00487546,20221205
076610,해성옵틱스,KOSDAQ,00483735,20230403
077360,덕산하이메탈,KOSDAQ,00471068,20231025
077500,유니퀘스트,KOSPI,00414601,20221212
077970,STX엔진,KOSPI,00480455,20230331
078000,텔코웨어,KOSPI,00361488,20221201
078020,이베스트투자증권,KOSDAQ,00330424,20230104
078070,유비쿼스홀딩스,KOSDAQ,00411385,20221208
078130,국일제지,KOSDAQ,00104573,20230330
078140,대봉엘에스,KOSDAQ,00442826,20221213
078150,HB테크놀러지,KOSDAQ,00255275,20221209
078160,메디포스트,KOSDAQ,00453929,20230209
078340,컴투스,KOSDAQ,00476498,20230331
078350,한양디지텍,KOSDAQ,00488989,20220228
078520,에이블씨엔씨,KOSPI,00400857,20230714
078590,휴림에이텍,KOSDAQ,00230814,20230831
078600,대주전자재료,KOSDAQ,00177816,20221207
078860,아이오케이,KOSDAQ,00543204,20230905
078890,가온그룹,KOSDAQ,00441304,20230417
078930,GS,KOSPI,00500254,20221227
078940,퀀타피아,KOSDAQ,00501970,20231024
079000,와토스코리아,KOSDAQ,00455875,20230328
079160,CJ CGV,KOSPI,00303873,20230109
079170,한창산업,KOSDAQ,00202839,20221201
079190,케스피온,KOSDAQ,00479705,20230731
079370,제우스,KOSDAQ,00442570,20221130
079430,현대리바트,KOSPI,00300548,20221130
079550,LIG넥스원,KOSPI,00503668,20221124
079650,서산,KOSDAQ,00130408,20221207
079810,디이엔티,KOSDAQ,00445160,20221208
079940,가비아,KOSDAQ,00506294,20221205
079950,인베니아,KOSDAQ,00409371,20221230
079960,동양이엔피,KOSDAQ,00178790,20230223
079970,투비소프트,KOSDAQ,00596260,20230619
079980,휴비스,KOSPI,00362238,20221205
080000,에스엔유,KOSDAQ,00455981,20221205
080010,이상네트웍스,KOSDAQ,00454399,20231006
080160,모두투어,KOSDAQ,00456218,20230713
080220,제주반도체,KOSDAQ,00447487,20221207
080420,모다이노칩,KOSDAQ,00480048,20230216
080470,성창오토텍,KOSDAQ,00486370,20221205
080520,오디텍,KOSDAQ,00529815,20221208
080530,코디,KOSDAQ,00308559,20221206
080580,오킨스전자,KOSDAQ,00543107,20230223
080720,한국유니온제약,KOSDAQ,00532855,20221205
081000,일진다이아,KOSPI,00508274,20221207
081150,티플랙스,KOSDAQ,00497631,20221207
081580,성우전자,KOSDAQ,00364306,20221212
081660,휠라홀딩스,KOSPI,00195229,20230713
082210,옵트론텍,KOSDAQ,00327396,20230908
082270,젬백스,KOSDAQ,00492894,20230331
082640,동양생명,KOSPI,00117267,20221230
082660,코스나인,KOSDAQ,00442455,20221209
082740,HSD엔진,KOSPI,00361008,20211222
082800,비보존 제약,KOSDAQ,00533191,20230703
082850,우리바이오,KOSDAQ,00369107,20220331
082920,비츠로셀,KOSDAQ,00154718,20221209
083310,엘오티베큠,KOSDAQ,00484682,20221209
083420,그린케미칼,KOSPI,00454946,20221201
083450,GST,KOSDAQ,00540863,20221201
083470,이엠앤아이,KOSDAQ,00475718,20230502
083500,에프엔에스테크,KOSDAQ,00476036,20230216
083550,케이엠,KOSDAQ,00242934,20221202
083640,인콘,KOSDAQ,00475976,20230725
083650,비에이치아이,KOSDAQ,00409788,20230216
083660,CSA 코스믹,KOSDAQ,00406037,20230713
083790,CG인바이츠,KOSDAQ,00407814,20230803
083930,아바코,KOSDAQ,00442145,20220225
084010,대한제강,KOSPI,00113225,20230403
084110,휴온스글로벌,KOSDAQ,00228059,20221128
084180,수성샐바시온,KOSDAQ,00243979,20230718
084370,유진테크,KOSDAQ,00531014,20221216
084440,유비온,KOSDAQ,00531078,20221128
084650,랩지노믹스,KOSDAQ,00545114,20230313
084670,동양고속,KOSPI,00540641,20230202
084680,이월드,KOSPI,00540605,20230220
084690,대상홀딩스,KOSPI,00539274,20221206
084730,팅크웨어,KOSDAQ,00438036,20220221
084850,아이티엠반도체,KOSDAQ,00579980,20230220
084870,티비에이치글로벌,KOSPI,00409672,20230922
084990,헬릭스미스,KOSDAQ,00359395,20230317
085310,엔케이,KOSPI,00172228,20230327
085620,미래에셋생명,KOSPI,00112332,20231026
085660,차바이오텍,KOSDAQ,00525679,20230403
085670,뉴프렉스,KOSDAQ,00493510,20221213
085810,알티캐스트,KOSDAQ,00364254,20230403
085910,네오티스,KOSDAQ,00447928,20230206
086040,바이오톡스텍,KOSDAQ,00447502,20221202
086060,진바이오텍,KOSDAQ,00491053,20221123
086280,현대글로비스,KOSPI,00360595,20230127
086390,유니테스트,KOSDAQ,00540447,20230222
086450,동국제약,KOSDAQ,00114808,20230829
086520,에코프로,KOSDAQ,00536541,20230331
